Date,Adj Close,Close,High,Low,Open,Volume,Return,Log_Return,Volatility_20,SMA_20,SMA_50,Momentum_20,Volume_Change,Drawdown
2023-03-14,17043.30078125,17043.30078125,17224.650390625,16987.099609375,17160.55078125,290600,-0.006470680525861194,-0.006491706128142258,0.12837436464208488,17592.907421875,17783.22390625,-0.04094331707350318,0.1400549234994115,-0.09404381229235881
2023-03-15,16972.150390625,16972.150390625,17211.349609375,16938.900390625,17166.44921875,248200,-0.004174683738684903,-0.004183422059139645,0.12174215963128641,17545.0224609375,17758.7179296875,-0.053413678285915256,-0.14590502408809358,-0.09782589285714283
2023-03-16,16985.599609375,16985.599609375,17062.44921875,16850.150390625,16994.650390625,349800,0.0007924286811309411,0.0007921148752918237,0.11926659628095099,17493.5099609375,17733.77890625,-0.057185757115994273,0.4093473005640613,-0.09711098421926911
2023-03-17,17100.05078125,17100.05078125,17145.80078125,16958.150390625,17111.80078125,408100,0.006738129621978839,0.0067155298897271865,0.12338288509837257,17446.72001953125,17714.9209375,-0.05188548631712775,0.16666666666666674,-0.09102720099667772
2023-03-20,16988.400390625,16988.400390625,17066.599609375,16828.349609375,17066.599609375,241800,-0.0065292432199922645,-0.006550651968001941,0.12387063025171158,17398.930078125,17694.8459375,-0.053265058890244577,-0.40749816221514334,-0.09696210548172757
2023-03-21,17107.5,17107.5,17127.69921875,17016.0,17060.400390625,246700,0.007010642946744028,0.006986182644570191,0.12801226239634433,17362.07509765625,17679.806953125,-0.04130659277934989,0.02026468155500405,-0.0906312292358804
2023-03-22,17151.900390625,17151.900390625,17207.25,17107.849609375,17177.44921875,0,0.0025953757489405316,0.002592013577443892,0.12905614473114713,17328.33515625,17660.8209765625,-0.03785326828284907,-1.0,-0.08827107558139535
2023-03-23,17076.900390625,17076.900390625,17205.400390625,17045.30078125,17097.400390625,219200,-0.004372693304643627,-0.0043822814890137705,0.11936802841192556,17304.46513671875,17644.0759765625,-0.027195636931031664,inf,-0.0922577865448505
2023-03-24,16945.05078125,16945.05078125,17109.44921875,16917.349609375,17076.19921875,228000,-0.007720933328590696,-0.007750894050448838,0.1214632194817134,17276.15517578125,17625.0630078125,-0.03233345527874942,0.04014598540145986,-0.09926640365448502
2023-03-27,16985.69921875,16985.69921875,17091.0,16918.55078125,16984.30078125,218400,0.0023988383407489433,0.002395965721106003,0.12223366576774368,17252.15009765625,17607.6130078125,-0.027488093361021426,-0.04210526315789476,-0.09710568936877073
2023-03-28,16951.69921875,16951.69921875,17061.75,16913.75,17031.75,238800,-0.002001683861354908,-0.0020036899079230227,0.12181460969092243,17230.10009765625,17587.515,-0.025355466362839474,0.0934065934065933,-0.09891299833887046
