Date,Close,Actual,Future_Return,Prediction,HOLD_Probability,BUY_Probability,SELL_Probability,Regime
2024-10-04,25014.599609375,2,-0.008748875168602677,2,0.3187958,0.30602625,0.3751779,2
2024-10-07,24795.75,1,0.00876764730346924,2,0.16574767,0.23651075,0.59774154,2
2024-10-08,25013.150390625,0,-0.0012473907279866303,1,0.30721626,0.3943871,0.29839665,2
2024-10-09,24981.94921875,0,0.0006604768849507447,2,0.1969127,0.30779642,0.49529088,2
2024-10-10,24998.44921875,0,-0.0013680536120755926,1,0.30355468,0.37982878,0.3166165,2
2024-10-11,24964.25,1,0.006557345754428789,0,0.5686411,0.27942878,0.15193011,2
2024-10-14,25127.94921875,0,-0.0028096049048969007,0,0.58250386,0.33570212,0.081793964,2
2024-10-15,25057.349609375,0,-0.0034340754096676696,0,0.41080627,0.33945245,0.24974123,2
2024-10-16,24971.30078125,2,-0.008868227322834543,0,0.5598763,0.34006158,0.100062065,2
2024-10-17,24749.849609375,0,0.004210173941240125,1,0.419467,0.43973365,0.14079936,2
2024-10-18,24854.05078125,0,-0.00293518237799828,0,0.75532633,0.15175827,0.09291538,2
2024-10-21,24781.099609375,2,-0.012469180337869368,1,0.39082897,0.46841243,0.14075856,2
2024-10-22,24472.099609375,0,-0.001495564743491773,0,0.59414643,0.21317257,0.19268101,2
2024-10-23,24435.5,0,-0.0014773427748562273,0,0.6941459,0.18159401,0.12426004,1
2024-10-24,24399.400390625,2,-0.008959220549493163,0,0.7707596,0.17765965,0.05158076,2
2024-10-25,24180.80078125,1,0.0065485676346082045,0,0.4894024,0.19869083,0.31190675,1
2024-10-28,24339.150390625,1,0.0052466588480091225,0,0.43052384,0.24378829,0.3256879,2
2024-10-29,24466.849609375,2,-0.005149825253829232,0,0.6485965,0.26596078,0.08544269,1
2024-10-30,24340.849609375,2,-0.005566773640794054,1,0.3149111,0.37225896,0.3128299,2
2024-10-31,24205.349609375,0,0.004090004961616156,2,0.31299964,0.27662498,0.4103754,1
2024-11-01,24304.349609375,2,-0.0127137736646451,1,0.37525526,0.3779095,0.24683523,2
2024-11-04,23995.349609375,1,0.00908305881860727,1,0.27825242,0.50346106,0.2182865,1
2024-11-05,24213.30078125,1,0.011181870759630508,1,0.3752997,0.413374,0.21132632,2
2024-11-06,24484.05078125,2,-0.011628025706147627,1,0.30481926,0.56343406,0.13174666,1
2024-11-07,24199.349609375,0,-0.002113709312467793,0,0.4498355,0.3556806,0.19448385,2
2024-11-08,24148.19921875,0,-0.00028567088740283353,0,0.58691514,0.25904438,0.15404049,1
2024-11-11,24141.30078125,2,-0.010680930776533315,1,0.391295,0.42383772,0.18486726,2
2024-11-12,23883.44921875,2,-0.013582562322921432,0,0.5955538,0.24868935,0.15575679,1
2024-11-13,23559.05078125,0,-0.0011185324376894457,1,0.39272794,0.41480696,0.19246511,2
2024-11-14,23532.69921875,0,-0.0033527151631265184,0,0.39248866,0.37414676,0.23336461,1
2024-11-18,23453.80078125,0,0.002758581406631766,0,0.6487976,0.20058727,0.15061519,2
2024-11-19,23518.5,2,-0.007168807933116472,0,0.7483153,0.12023387,0.13145085,1
2024-11-21,23349.900390625,1,0.023869464111237804,1,0.4519609,0.46525478,0.08278438,2
2024-11-22,23907.25,1,0.013161295867362366,0,0.5030131,0.2013005,0.2956864,2
2024-11-25,24221.900390625,0,-0.0011312238174179257,1,0.22884825,0.6891385,0.08201324,2
2024-11-26,24194.5,0,0.003323085437806128,1,0.23387876,0.6550722,0.11104899,2
2024-11-27,24274.900390625,2,-0.014861029054492936,0,0.6123627,0.3137849,0.07385243,2
2024-11-28,23914.150390625,1,0.009072001940535257,1,0.38609105,0.47620472,0.13770421,2
2024-11-29,24131.099609375,1,0.006006820004948565,1,0.28602627,0.6873634,0.026610382,2
2024-12-02,24276.05078125,1,0.007460011144599932,1,0.256731,0.68525034,0.058018617,2
2024-12-03,24457.150390625,0,0.00042109681465385407,0,0.45142442,0.3835443,0.16503131,2
2024-12-04,24467.44921875,1,0.009847825562885104,1,0.30201098,0.57716393,0.120825045,2
2024-12-05,24708.400390625,0,-0.0012384293961259507,1,0.3519942,0.5955313,0.052474566,2
2024-12-06,24677.80078125,0,-0.0023827399277279726,1,0.2992288,0.64411765,0.056653623,2
2024-12-09,24619.0,0,-0.0003635086213900074,0,0.63012934,0.25087488,0.11899582,2
2024-12-10,24610.05078125,0,0.0012901233029631864,0,0.5396892,0.36507738,0.09523342,2
2024-12-11,24641.80078125,0,-0.003778196379659149,0,0.51341194,0.38189074,0.10469733,2
2024-12-12,24548.69921875,1,0.008945547808588916,0,0.80006033,0.11601492,0.0839247,2
2024-12-13,24768.30078125,0,-0.004039468921733236,0,0.814437,0.11979158,0.06577142,2
2024-12-16,24668.25,2,-0.013468730047733413,0,0.6054569,0.33764505,0.056898054,2
2024-12-17,24336.0,2,-0.005635699812006956,0,0.479204,0.39802736,0.12276865,2
2024-12-18,24198.849609375,2,-0.010213311567061067,0,0.6331404,0.18880749,0.17805213,2
2024-12-19,23951.69921875,2,-0.01520556915080562,0,0.46219957,0.1748514,0.36294898,2
2024-12-20,23587.5,1,0.0070354729729729115,1,0.1724526,0.5258642,0.30168322,2
2024-12-23,23753.44921875,0,-0.0010861087115143775,2,0.33465374,0.31836724,0.34697905,2
2024-12-24,23727.650390625,0,0.0009503186263191132,0,0.5590646,0.18196785,0.2589675,2
2024-12-26,23750.19921875,0,0.002661079652128029,0,0.47566456,0.35085723,0.1734782,2
2024-12-27,23813.400390625,2,-0.007075847935867907,0,0.5427705,0.25338608,0.20384346,2
2024-12-30,23644.900390625,0,-4.212721278373799e-06,1,0.12733659,0.84874094,0.023922456,2
2024-12-31,23644.80078125,0,0.004148887118253564,0,0.4918245,0.24642067,0.26175484,2
2025-01-01,23742.900390625,1,0.018774033191665485,0,0.6020865,0.24085616,0.15705736,2
2025-01-02,24188.650390625,2,-0.007602755327609123,0,0.556177,0.33356184,0.110261165,2
2025-01-03,24004.75,2,-0.016192595996625703,0,0.54542184,0.3090984,0.14547977,2
2025-01-06,23616.05078125,0,0.0038892874268343647,0,0.43460116,0.39807597,0.16732287,2
2025-01-07,23707.900390625,0,-0.0007993610384197103,0,0.50972253,0.2858128,0.20446463,2
2025-01-08,23688.94921875,2,-0.006857594959147506,0,0.6106392,0.21460074,0.17476004,2
2025-01-09,23526.5,0,-0.004037999702463213,0,0.48164287,0.37379622,0.14456087,2
2025-01-10,23431.5,2,-0.014747275302477436,0,0.6045849,0.1792602,0.21615495,2
2025-01-13,23085.94921875,0,0.003902874499386977,2,0.33538032,0.29480526,0.36981446,2
2025-01-14,23176.05078125,0,0.0016028803979861728,0,0.56720185,0.17790598,0.25489214,2
2025-01-15,23213.19921875,0,0.004247650725383689,0,0.42796588,0.2456263,0.32640782,2
2025-01-16,23311.80078125,0,-0.004658651792672774,0,0.565494,0.21806343,0.21644254,2
2025-01-17,23203.19921875,1,0.006100485537167577,0,0.55539507,0.26468778,0.17991716,2
2025-01-20,23344.75,2,-0.013711845677293555,0,0.6405907,0.17711854,0.18229075,1
2025-01-21,23024.650390625,1,0.0056764909144164655,0,0.46907008,0.23759376,0.29333615,2
2025-01-22,23155.349609375,0,0.0021593282262408753,0,0.4145048,0.39207584,0.1934194,1
2025-01-23,23205.349609375,0,-0.004876047658393667,0,0.44891515,0.3348917,0.21619312,2
2025-01-24,23092.19921875,2,-0.011391241935562957,0,0.4702377,0.38947818,0.14028414,1
2025-01-27,22829.150390625,1,0.005611229817278129,0,0.45163423,0.23327303,0.3150927,2
2025-01-28,22957.25,1,0.008966649288351114,0,0.52075016,0.29843768,0.18081217,1
2025-01-29,23163.099609375,0,0.003730087599762788,1,0.20474118,0.7568534,0.03840544,2
2025-01-30,23249.5,1,0.011135740150325812,1,0.266836,0.59177727,0.14138675,1
2025-01-31,23508.400390625,0,-0.0011166221250199504,1,0.3530315,0.52807266,0.11889582,2
2025-02-01,23482.150390625,2,-0.005157091976693451,0,0.48596194,0.23445764,0.27958044,1
2025-02-03,23361.05078125,1,0.016189306820631133,1,0.30861852,0.38391253,0.30746892,2
2025-02-04,23739.25,0,-0.001809207062143936,0,0.5425371,0.15650703,0.3009559,1
2025-02-05,23696.30078125,0,-0.003922602634608197,0,0.54231477,0.21660136,0.24108389,2
