Date,Close,Actual,Future_Return,Prediction,HOLD_Probability,BUY_Probability,SELL_Probability,Regime,Volatility_20,Desired_Position,Position,Market_Return,Strategy_Return,Trade,Transaction_Cost,Strategy_Return_After_Cost,Strategy_Equity,Buy_Hold_Equity
2025-02-27,22545.05078125,2,-0.0186449596666951,0,0.6320192,0.19742428,0.17055649,2,0.1019975910196126,0.0,0.0,-0.0186449596666951,-0.0,0.0,0.0,-0.0,100874.90603375222,95037.50170527911
2025-02-28,22124.69921875,0,-0.0002440004922383,1,0.31220487,0.6544121,0.033383068,2,0.1079930214250844,0.5,0.0,-0.0002440004922383,-0.0,0.0,0.0,-0.0,100874.90603375222,95014.31250808192
2025-03-03,22119.30078125,0,-0.0016569416451024,0,0.61989856,0.17525855,0.20484291,2,0.1082426855253405,0.0,0.5,-0.0016569416451024,-0.0008284708225512,0.5,0.0005,-0.0013284708225512,100740.89666435879,94856.8793368065
2025-03-04,22082.650390625,1,0.0115316950692254,0,0.7442325,0.10618738,0.14958017,2,0.1080218311782359,0.0,0.0,0.0115316950692254,0.0,0.5,0.0005,-0.0005,100690.52621602661,95950.73994453686
2025-03-05,22337.30078125,1,0.009284847776867,0,0.4472731,0.38076323,0.1719637,2,0.0981564623891975,0.0,0.0,0.009284847776867,0.0,0.0,0.0,0.0,100690.52621602661,96841.62795899964
2025-03-06,22544.69921875,0,0.0003460139864501,1,0.23452474,0.69461507,0.07086019,2,0.1074030174765827,0.5,0.0,0.0003460139864501,0.0,0.0,0.0,0.0,100690.52621602661,96875.13651674407
2025-03-07,22552.5,0,-0.0040882039130917,0,0.54998964,0.3641972,0.08581318,2,0.1077151111486391,0.0,0.5,-0.0040882039130917,-0.00204410195654585,0.5,0.0005,-0.00254410195654585,100434.35925127477,96479.091204555
2025-03-10,22460.30078125,0,0.001674047455606,0,0.62187225,0.24186769,0.13626003,2,0.1078913636932861,0.0,0.0,0.001674047455606,0.0,0.5,0.0005,-0.0005,100384.14207164914,96640.60178170518
2025-03-11,22497.900390625,0,-0.0012179087892316,0,0.594322,0.20103128,0.20464666,2,0.1069700045764504,0.0,0.0,-0.0012179087892316,-0.0,0.0,0.0,-0.0,100384.14207164914,96522.90234339861
2025-03-12,22470.5,0,-0.0032620894617386,0,0.6942627,0.13117123,0.17456612,2,0.0981047608250541,0.0,0.0,-0.0032620894617386,-0.0,0.0,0.0,-0.0,100384.14207164914,96208.0360008478
2025-03-13,22397.19921875,0,0.0049805683362682,0,0.75743103,0.14625981,0.09630918,2,0.0983436635283991,0.0,0.0,0.0049805683362682,0.0,0.0,0.0,0.0,100384.14207164914,96687.20669864818
2025-03-17,22508.75,1,0.0144632989948354,0,0.776033,0.14302772,0.08093923,2,0.1009167290282234,0.0,0.0,0.0144632989948354,0.0,0.0,0.0,0.0,100384.14207164914,98085.62267810617
2025-03-18,22834.30078125,0,0.0032100316461272,0,0.67310065,0.123651385,0.20324796,2,0.1139955976802979,0.0,0.0,0.0032100316461272,0.0,0.0,0.0,0.0,100384.14207164914,98400.48063093299
2025-03-19,22907.599609375,1,0.01235619558909,0,0.5783529,0.2016077,0.22003932,2,0.1145259576257171,0.0,0.0,0.01235619558909,0.0,0.0,0.0,0.0,100384.14207164914,99616.33621566926
2025-03-20,23190.650390625,1,0.0068885519512889,0,0.5718846,0.28311995,0.14499548,2,0.1226365158824699,0.0,0.0,0.0068885519512889,0.0,0.0,0.0,0.0,100384.14207164914,100302.54852288796
2025-03-21,23350.400390625,1,0.0131881772302988,1,0.22735795,0.65604967,0.116592415,2,0.1245795326356536,0.5,0.0,0.0131881772302988,0.0,0.0,0.0,0.0,100384.14207164914,101625.35630945845
